total,text,img,nodenum,concat
0.0991,0.006,0.0871,0.0021,0.0
0.0825,0.003,0.0765,0.001,0.0
0.0968,0.006,0.0867,0.002,0.0
0.0908,0.0033,0.0855,0.001,0.0
0.0925,0.004,0.0865,0.001,0.0
0.0965,0.006,0.0865,0.002,0.0
0.084,0.003,0.078,0.001,0.0
0.0865,0.002,0.0815,0.001,0.0
0.0871,0.003,0.0811,0.001,0.0
0.0945,0.004,0.0875,0.001,0.0
0.0828,0.0042,0.0765,0.001,0.0
0.0885,0.005,0.0805,0.001,0.0
0.0911,0.004,0.0851,0.001,0.0
0.0875,0.005,0.0795,0.001,0.0
0.0943,0.003,0.0883,0.001,0.0
0.0915,0.004,0.0845,0.001,0.0
0.091,0.004,0.083,0.001,0.001
0.0901,0.003,0.0841,0.001,0.0
0.093,0.0045,0.085,0.001,0.0
0.0855,0.004,0.0785,0.001,0.0
0.0906,0.004,0.0836,0.001,0.0
0.0911,0.004,0.0831,0.001,0.0
0.0885,0.005,0.0795,0.001,0.001
0.0995,0.0101,0.0845,0.002,0.0
0.0927,0.003,0.0867,0.001,0.001
0.1196,0.005,0.1116,0.002,0.0
0.0955,0.004,0.0875,0.001,0.001
0.1195,0.004,0.1115,0.002,0.0
0.1032,0.0083,0.0899,0.001,0.001
0.1297,0.006,0.1161,0.0023,0.0
0.1524,0.008,0.1404,0.002,0.0
0.1041,0.0097,0.0891,0.001,0.0
0.0886,0.0065,0.0802,0.001,0.0
0.0985,0.005,0.0885,0.002,0.0
0.1124,0.006,0.1014,0.001,0.001
0.0875,0.003,0.0825,0.0,0.001
0.086,0.003,0.079,0.001,0.0
0.091,0.003,0.0851,0.001,0.0
0.101,0.009,0.089,0.001,0.0
0.1049,0.006,0.0949,0.002,0.0
0.1064,0.008,0.0944,0.002,0.0
0.091,0.003,0.0849,0.001,0.0
0.1059,0.01,0.0899,0.001,0.001
0.1644,0.0254,0.1339,0.001,0.0
0.106,0.006,0.096,0.001,0.0
0.0912,0.006,0.0832,0.001,0.0
0.0975,0.006,0.0885,0.001,0.0
0.0875,0.005,0.0785,0.001,0.0
0.1012,0.006,0.0922,0.002,0.0
0.1068,0.005,0.0978,0.002,0.0
0.0982,0.005,0.0902,0.001,0.0
0.1026,0.005,0.0926,0.001,0.001
0.0891,0.004,0.0817,0.001,0.0
0.0952,0.0029,0.0902,0.001,0.0
0.0894,0.0045,0.0829,0.001,0.0
0.095,0.0044,0.0861,0.0025,0.0
0.0893,0.004,0.0821,0.001,0.0
0.0937,0.0031,0.0885,0.001,0.0
0.0947,0.003,0.0892,0.0015,0.0
0.1004,0.0064,0.091,0.001,0.0
0.0948,0.006,0.0848,0.001,0.0
0.0965,0.004,0.0895,0.001,0.0
0.0936,0.003,0.0865,0.001,0.0
0.1052,0.004,0.0958,0.0023,0.0
0.0936,0.003,0.0876,0.001,0.0
0.0898,0.004,0.0827,0.001,0.0
0.0927,0.004,0.0847,0.001,0.001
0.0949,0.004,0.0879,0.001,0.0
0.0919,0.005,0.0829,0.001,0.0
0.0977,0.004,0.0897,0.001,0.0
0.0953,0.0046,0.0871,0.0015,0.0
0.095,0.005,0.087,0.001,0.0
0.1012,0.0073,0.0894,0.001,0.001
0.0975,0.005,0.09,0.001,0.0
0.0976,0.006,0.0872,0.001,0.001
0.099,0.0075,0.0865,0.002,0.0
0.0995,0.0045,0.093,0.001,0.0
0.0985,0.0045,0.091,0.001,0.0
0.0985,0.0065,0.087,0.002,0.001
0.0959,0.0046,0.0873,0.001,0.0
0.0978,0.0035,0.0913,0.001,0.0
0.0939,0.004,0.0859,0.002,0.0
0.1048,0.009,0.0908,0.001,0.001
0.0895,0.004,0.0825,0.002,0.0
0.093,0.006,0.084,0.001,0.0
0.0955,0.005,0.0865,0.001,0.001
0.1016,0.006,0.0926,0.001,0.0
0.0984,0.0039,0.0905,0.002,0.0
0.094,0.004,0.088,0.001,0.0
0.0915,0.005,0.0825,0.002,0.0
0.0995,0.004,0.0905,0.002,0.0
0.1029,0.0073,0.0924,0.001,0.0
0.0927,0.004,0.0857,0.001,0.0
0.0978,0.003,0.0928,0.001,0.0
0.0928,0.0041,0.0848,0.002,0.0
0.0926,0.004,0.0846,0.001,0.001
0.0936,0.003,0.0875,0.001,0.0
0.0936,0.006,0.0835,0.002,0.0
0.0998,0.006,0.0898,0.001,0.001
0.0978,0.004,0.0918,0.001,0.0
0.1026,0.007,0.0906,0.001,0.0
0.0959,0.0045,0.087,0.0024,0.0
0.1011,0.006,0.0911,0.002,0.0
0.0955,0.007,0.0855,0.001,0.0
0.1013,0.007,0.0903,0.002,0.0
0.0935,0.004,0.0855,0.001,0.001
0.0871,0.003,0.0811,0.001,0.0
0.1035,0.005,0.0944,0.002,0.0
0.0992,0.004,0.0921,0.0011,0.001
0.0982,0.006,0.0882,0.0011,0.001
0.1034,0.009,0.0894,0.002,0.0
0.1001,0.004,0.0921,0.002,0.0
0.113,0.0075,0.1015,0.001,0.0
0.1098,0.007,0.0986,0.0012,0.001
0.1099,0.0044,0.1025,0.001,0.0
